Row Labels,TotalOT,PL1,SL1,SP1,IP1,Total SL,TotalLeave,OT,10.5,AGE_YR,SERV_YR,Reason,Status
001F3,16.262,0.000,0.000,0.000,0.000,0.000,0.000,14.262,0.190,30,4,W,Working
001G6,29.500,0.167,0.083,0.000,0.000,0.083,0.250,21.625,0.750,30,3,A,Resign
001H5,12.042,0.083,0.917,0.417,0.000,1.333,1.417,10.292,0.167,29,2,D,Resign
001K1,40.625,0.000,0.250,0.000,0.000,0.250,0.250,27.500,1.250,20,1,A,Resign
001K6,0.455,0.364,1.364,0.000,0.000,1.364,1.727,0.455,0.000,27,0,D,Resign
002A1,50.192,0.000,0.000,0.000,0.000,0.000,0.000,36.731,1.282,43,8,W,Working
002H9,23.500,0.000,0.000,0.000,0.000,0.000,0.000,18.500,0.476,28,2,W,Working
002K1,27.128,0.000,0.103,0.000,0.000,0.103,0.103,24.974,0.205,24,2,W,Working
002K2,0.000,0.000,0.500,0.000,0.000,0.500,0.500,0.000,0.000,28,1,A,Resign
002K5,42.308,0.000,0.077,0.410,0.000,0.487,0.487,31.538,1.026,38,1,W,Working
002K6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23,0,D,Resign
003F9,35.357,0.000,0.095,0.333,0.000,0.429,0.429,29.857,0.524,25,4,W,Working
003G9,18.750,0.000,0.000,0.250,0.000,0.250,0.250,18.750,0.000,24,3,A,Resign
003H3,21.667,0.238,0.095,0.333,0.190,0.619,0.857,17.667,0.381,39,3,W,Working
003H8,23.707,0.310,0.552,0.034,0.000,0.586,0.897,20.086,0.345,21,2,D,Resign
003K3,37.619,0.190,1.048,0.000,0.000,1.048,1.238,29.119,0.810,23,1,W,Working
003K6,3.750,0.500,0.000,0.000,0.000,0.000,0.500,3.750,0.000,25,0,D,Resign
004A1,41.487,0.000,0.051,0.000,0.000,0.051,0.051,29.910,1.103,38,8,W,Working
004F3,9.375,0.000,0.500,0.000,0.000,0.500,0.500,9.375,0.000,28,3,A,Resign
004F9,32.857,0.000,0.000,0.333,0.000,0.333,0.333,28.857,0.381,28,4,W,Working
004G1,18.050,0.200,0.300,0.100,0.000,0.400,0.600,14.900,0.300,31,3,D,Resign
004G6,3.810,0.190,0.000,0.143,0.000,0.143,0.333,3.810,0.000,30,4,W,Working
004G7,53.086,0.000,0.000,0.000,0.000,0.000,0.000,38.986,1.343,28,4,W,Working
004H2,16.071,0.000,0.000,0.381,0.000,0.381,0.381,13.571,0.238,21,3,W,Working
004H8,19.625,0.250,0.500,0.000,0.000,0.500,0.750,17.000,0.250,21,2,A,Resign
004K2,52.905,0.000,0.000,0.000,0.000,0.000,0.000,37.405,1.476,37,3,W,Working
004K6,0.000,0.067,3.067,0.067,0.000,3.133,3.200,0.000,0.000,21,0,W,Working
005H3,22.650,0.100,1.200,0.000,0.000,1.200,1.300,18.450,0.400,21,2,A,Resign
005H8,26.197,0.606,0.242,0.000,0.000,0.242,0.848,22.379,0.364,21,3,W,Working
005K2,41.553,0.000,0.000,0.000,0.000,0.000,0.000,32.158,0.895,39,3,A,Resign
005K6,0.000,0.250,1.000,0.000,0.000,1.000,1.250,0.000,0.000,40,0,A,Resign
006A1,48.838,0.000,0.100,0.400,0.150,0.650,0.650,34.925,1.325,42,7,W,Working
006F1,16.310,0.000,0.000,0.000,0.000,0.000,0.000,13.810,0.238,39,4,W,Working
